País,Cliques,Impressões,CTR,Posição
Brasil,28,1852,1.51%,8.53
Vietnã,1,3,33.33%,1.67
Estados Unidos,0,40,0%,6.17
Argentina,0,8,0%,7.25
Portugal,0,8,0%,8.75
Reino Unido,0,6,0%,4.5
Paraguai,0,5,0%,6.4
Índia,0,3,0%,4
Chile,0,3,0%,4.33
Indonésia,0,3,0%,7
Áustria,0,3,0%,7.33
Bangladesh,0,3,0%,8
Moçambique,0,3,0%,9
Guiné-Bissau,0,2,0%,2
Peru,0,2,0%,2
Austrália,0,2,0%,2.5
Malásia,0,2,0%,4
França,0,2,0%,4.5
Tunísia,0,2,0%,5
Alemanha,0,2,0%,6
Espanha,0,2,0%,12
Canadá,0,2,0%,23
Colômbia,0,1,0%,1
África do Sul,0,1,0%,1
Romênia,0,1,0%,2
Palestina,0,1,0%,3
Gana,0,1,0%,4
Albânia,0,1,0%,5
México,0,1,0%,5
Turquia,0,1,0%,5
Bélgica,0,1,0%,6
Guatemala,0,1,0%,6
Lituânia,0,1,0%,6
Letônia,0,1,0%,6
Macau,0,1,0%,6
Suécia,0,1,0%,6
Uruguai,0,1,0%,6
Bielorrússia,0,1,0%,8
Israel,0,1,0%,8
Panamá,0,1,0%,8
Angola,0,1,0%,10