Position,Type,Domain,URL,Page AS,Ref.Domains,Backlinks,Search Traffic,URL Keywords,SERP Features
1,Organic,mundodocaminhao.com.br,https://www.mundodocaminhao.com.br/geladeira-caminhao-65-litros-truck-12v-24v-externa-elber,0,0,0,96,3,Sitelinks
2,Organic,mercadolivre.com.br,https://lista.mercadolivre.com.br/geladeira-elber-65-litros,0,0,0,65,20,
3,Organic,elber.ind.br,https://elber.ind.br/produtos/geladeira-portatil-black-65-litros-12v-24v/,0,0,0,31,12,
3,Video carousel,youtube.com,https://www.youtube.com/watch?v=okAYdz470BM,,,,,,
3,Video carousel,youtube.com,https://www.youtube.com/watch?v=hHE5UrePTxA,,,,,,
3,Video carousel,youtube.com,https://www.youtube.com/watch?v=I9NJW3a8yrc,,,,,,
4,Organic,comfortruck.com.br,https://www.comfortruck.com.br/geladeira-elber,0,0,0,62,24,Sitelinks
5,Organic,olx.com.br,https://www.olx.com.br/anuncios/geladeiras-elber,0,0,0,10,40,
6,Organic,campagnaro.com.br,https://www.campagnaro.com.br/copia-de-geladeira-65-litros-bivolt-elber,0,0,0,16,9,
7,Organic,mercadolivre.com.br,https://produto.mercadolivre.com.br/MLB-1613045504-geladeira-elber-65-litros-e-suporte-instalaco-1224v-_JM,0,0,0,6,6,
8,Organic,king4x4.com.br,https://www.king4x4.com.br/geladeira-portatil-automotiva-elber-black-65-litros,0,0,0,3,1,
9,Organic,tech-e.com.br,https://www.tech-e.com.br/geladeira-portatil-elber-black-65-litros,0,0,0,2,3,Sitelinks
10,Organic,elber.ind.br,https://elber.ind.br/wp-content/uploads/2021/07/manual_tecnico_caminhao_externa_atualizado_online_compressed.pdf,0,0,0,2,9,
11,Organic,lojadomecanico.com.br,https://www.lojadomecanico.com.br/produto/368802/59/308/geladeira-automotiva-portatil-externa-truck-65-litros-interior-branco-68w-1224v-elber-72872,0,0,0,1,4,
12,Organic,magazinevoce.com.br,https://www.magazinevoce.com.br/magazinegeladeiracertifi/busca/geladeira elber 65 litros/?filters=brand---elber,0,0,0,1,1,
13,Organic,mercadolivre.com.br,https://produto.mercadolivre.com.br/MLB-1613045504-geladeira-elber-65-litros-e-suporte-instalaco-1224v-_JM,0,0,0,6,6,
14,Organic,olx.com.br,https://www.olx.com.br/anuncios/geladeiras-elber,0,0,0,10,40,
15,Organic,carrefour.com.br,https://www.carrefour.com.br/geladeira-elber-65-litros-bivolt-mp922678515/p,0,0,0,0,1,Sitelinks
16,Organic,casasbahia.com.br,https://www.casasbahia.com.br/geladeira-para-caminhao-elber-65-litros-truck-12v-24v-elber-geladeiras/b,0,0,0,0,6,Sitelinks
17,Organic,madeiramadeira.com.br,https://www.madeiramadeira.com.br/geladeira-elber-65-litros-bivolt-814434552.html,0,0,0,0,1,Sitelinks
18,Organic,americanas.com.br,https://www.americanas.com.br/geladeira-elber-65-litros-bivolt-2606361724/p,0,0,0,0,2,
19,Organic,americanas.com.br,https://www.americanas.com.br/geladeira-elber-65-litros-bivolt-2606361724/p,0,0,0,0,2,
20,Organic,diretodistribuidora.com.br,https://www.diretodistribuidora.com.br/geladeiras/geladeira-de-caminhao-elber-externa-65-litros-12v24v,0,0,0,0,1,
21,Organic,acessorioskm44.com.br,https://www.acessorioskm44.com.br/geladeira-65l-elber,0,0,0,0,3,
22,Organic,lvmtruck.com.br,https://www.lvmtruck.com.br/geladeira-portatil-black-para-caminhao-motorhome-van-65-litros-bivolt-12v-24v-elber,0,0,0,0,1,
23,Organic,pontofrio.com.br,https://www.pontofrio.com.br/geladeira-elber-65-litros/b,0,0,0,0,1,
24,Organic,4rtruckcenter.com.br,https://www.4rtruckcenter.com.br/geladeira-para-caminhao-65-litros-12v-24v-elber-047069-1,0,0,0,0,2,
25,Organic,rotatruck.com.br,https://www.rotatruck.com.br/geladeira-externa-elber-65litros-12-24vcc,0,0,0,0,5,
26,Organic,shopee.com.br,https://shopee.com.br/Evaporador-Congelador-Geladeira-Elber-65-73-Original-i.597669277.23791175782,0,0,0,0,3,
27,Organic,youtube.com,https://www.youtube.com/shorts/Ph3quNhDE6I,0,0,0,0,41,Video
28,Organic,uouu.com.br,https://www.uouu.com.br/produto/geladeira-elber-black-para-caminhao-65-litros-12-24v.html,0,0,0,0,2,
29,Organic,uouu.com.br,https://www.uouu.com.br/produto/geladeira-elber-black-para-caminhao-65-litros-12-24v.html,0,0,0,0,2,
30,Organic,mercadolivre.com.br,https://lista.mercadolivre.com.br/geladeira-elber-caminhao,0,0,0,73,45,
31,Organic,geladeiraelber.com.br,https://geladeiraelber.com.br/,6,70,75,13,26,
32,Organic,extra.com.br,https://www.extra.com.br/geladeira-para-caminhao-bivolt-rc65-litros-elber-suporte/p/1515820372,0,0,0,0,2,
33,Organic,elber.ind.br,https://elber.ind.br/categoria/portatil/,15,3,4,1124,126,
34,Organic,youtube.com,https://www.youtube.com/shorts/Ph3quNhDE6I,0,0,0,0,41,Video
35,Organic,youtube.com,https://www.youtube.com/shorts/bOBwUtK1pu8,0,0,0,0,1,Video
36,Organic,youtube.com,https://www.youtube.com/watch?v=ONJb8Rq6zJY,0,0,0,1,27,Video
37,Organic,elber.ind.br,https://elber.ind.br/categoria/motorhome/,6,1,1,315,59,
38,Organic,elber.ind.br,https://elber.ind.br/categoria/caminhao/,6,1,1,675,113,
39,Organic,youtube.com,https://www.youtube.com/watch?v=O3r-m2awaXM,0,0,0,0,26,Video
40,Organic,youtube.com,https://www.youtube.com/watch?v=vicL4O8fHNE,0,0,0,1,53,Video
41,Organic,elber.ind.br,https://elber.ind.br/geladeiras-caminhao-elber/,0,0,0,0,19,
42,Organic,buscape.com.br,https://www.buscape.com.br/busca/51+ice+limao,0,0,0,0,1,
43,Organic,mercadolivre.com.br,https://www.mercadolivre.com.br/geladeira-portatil-caminhao-elber-65-litros-preta-12v-24v/up/MLBU3336874016,0,0,0,0,2,
44,Organic,youtube.com,https://www.youtube.com/watch?v=YvlPN2PPfiA,0,0,0,0,2,Video
45,Organic,elber.ind.br,https://elber.ind.br/produtos/geladeira-de-caminhao-elber-strada-94-litros-12v-24v/,0,0,0,36,22,
46,Organic,youtube.com,https://www.youtube.com/watch?v=EVBfoJAxEBM,0,0,0,0,12,Video
47,Organic,youtube.com,https://www.youtube.com/watch?v=wl-mKgWnqR0,0,0,0,0,7,Video
48,Organic,elber.ind.br,https://elber.ind.br/,18,144,766,8119,126,
49,Organic,instagram.com,https://www.instagram.com/reel/DMQGwSVRDXJ/,0,0,0,0,1,Video
50,Organic,youtube.com,https://www.youtube.com/watch?v=wl-mKgWnqR0,0,0,0,0,7,Video
51,Organic,mercadolivre.com.br,https://produto.mercadolivre.com.br/MLB-5382309130-geladeira-para-caminho-65-litros-12v24v-elber-_JM,0,0,0,0,4,Sitelinks
52,Organic,elber.ind.br,https://elber.ind.br/atendimento/manuais/,0,0,0,0,29,
53,Organic,youtube.com,https://www.youtube.com/watch?v=W_cAWG_js80,0,0,0,0,1,Video
54,Organic,webcarro.com.br,https://webcarro.com.br/produto/geladeira-portatil-65l-elber-rc65-truck/,0,0,0,0,1,
55,Organic,youtube.com,https://www.youtube.com/watch?v=sS3c0c-WLXY,0,0,0,0,39,Video
56,Organic,elber.ind.br,https://elber.ind.br/manuais/geladeira-portatil-black/,0,0,0,2,8,
57,Organic,youtube.com,https://www.youtube.com/watch?v=1SugLO1yVMY,0,0,0,0,22,Video
58,Organic,elber.ind.br,https://elber.ind.br/atendimento/faq/,0,0,0,0,3,
59,Organic,youtube.com,https://www.youtube.com/watch?v=JmPwQMKipx4,0,0,0,11,86,Video
60,Organic,mercadolivre.com.br,https://www.mercadolivre.com.br/geladeira-elber-para-caminhao-externa-65-litros-12v24v/up/MLBU1108331007,0,0,0,0,2,Sitelinks
61,Organic,youtube.com,https://www.youtube.com/watch?v=Cst2lRlZ2rg,0,0,0,0,58,Video
62,Organic,elber.ind.br,https://elber.ind.br/faq/a-geladeira-caminhao-nao-esta-ligando-como-resolver/,0,0,0,2,16,
63,Organic,youtube.com,https://www.youtube.com/watch?v=wUYTvTIU-i0,0,0,0,0,24,Video
64,Organic,mercadolivre.com.br,https://www.mercadolivre.com.br/geladeira-portatil-elber-65-litros-fonte-12v-24v-110v-220v/up/MLBU3387987321,0,0,0,0,1,Sitelinks
65,Organic,elber.ind.br,https://elber.ind.br/faq/como-fazer-a-instalacao-eletrica-da-geladeira-externa-de-caminhao/,0,0,0,0,4,
66,Organic,youtube.com,https://www.youtube.com/watch?v=AZOLH7RTfhE,0,0,0,0,5,Video
67,Organic,elber.ind.br,https://elber.ind.br/produtos/geladeira-nautica-elber-32-litros-12v-24v/,0,0,0,0,9,
68,Organic,mercadolivre.com.br,https://www.mercadolivre.com.br/geladeira-elber-para-caminhao-externa-65-litros-12v24v/up/MLBU2185673340,0,0,0,0,1,
69,Organic,youtube.com,https://www.youtube.com/watch?v=7WO3xfE0AEA,0,0,0,8,80,Video
70,Organic,youtube.com,https://www.youtube.com/watch?v=ixCHV4BV7vw,0,0,0,0,30,Video
71,Organic,elber.ind.br,https://elber.ind.br/geladeira-portatil-para-caminhao/,0,0,0,1,42,
72,Organic,youtube.com,https://www.youtube.com/watch?v=h7QoNP5iV84,0,0,0,0,30,Video
73,Organic,elber.ind.br,https://elber.ind.br/produtos/geladeira-para-onibus-41-litros/,0,0,0,42,11,
74,Organic,youtube.com,https://www.youtube.com/watch?v=Br0ZYFcE5FE,0,0,0,0,14,Video
75,Organic,youtube.com,https://www.youtube.com/watch?v=OMirzQGM67g,0,0,0,0,16,Video
76,Organic,elber.ind.br,https://elber.ind.br/produtos/geladeira-portatil-com-rodas-elber/,0,0,0,6,14,
77,Organic,youtube.com,https://www.youtube.com/watch?v=O45eXoWyBjY,0,0,0,0,19,Video
78,Organic,mercadolivre.com.br,https://www.mercadolivre.com.br/geladeira-black-para-caminhao-bivolt-65-litros-elber/up/MLBU3077934023,0,0,0,0,1,
79,Organic,youtube.com,https://www.youtube.com/watch?v=qzp4yB9PdEg,0,0,0,0,20,Video
80,Organic,youtube.com,https://www.youtube.com/watch?v=CUk00RJ0OvQ,0,0,0,11,55,Video
81,Organic,mercadolivre.com.br,https://www.mercadolivre.com.br/geladeira-portatil-para-caminhao-elber-black-65l-bivolt/up/MLBU3529197194,0,0,0,0,1,
82,Organic,mercadolivre.com.br,https://www.mercadolivre.com.br/geladeira-para-caminho-elber-black-65-litros-1224v/p/MLB27521500,0,0,0,0,1,
83,Organic,mercadolivre.com.br,https://www.mercadolivre.com.br/geladeira-black-65l-para-caminhao-bivolt-1224v-elber/up/MLBU3077935993,0,0,0,0,1,
84,Organic,mercadolivre.com.br,https://www.mercadolivre.com.br/geladeira-portatil-elber-black-line-65-litros-preta-bivolt/up/MLBU3377252442,0,0,0,0,1,
85,Organic,mercadolivre.com.br,https://www.mercadolivre.com.br/geladeira-para-caminhao-65-litros-e-suporte-instalacao-1224/up/MLBU1415094881,0,0,0,0,1,
86,Organic,mercadolivre.com.br,https://www.mercadolivre.com.br/geladeira-caminhao-65-litros-truck-12v-24v-externa--elber/up/MLBU2991967872,0,0,0,0,1,
87,Organic,mercadolivre.com.br,https://lista.mercadolivre.com.br/geladeira-elber-usada,0,0,0,17,10,
88,Organic,mercadolivre.com.br,https://produto.mercadolivre.com.br/MLB-1613034366-geladeira-caminho-elber-gc65-kit-suporte-instalaco-1224-_JM,0,0,0,0,1,
89,Organic,mercadolivre.com.br,https://lista.mercadolivre.com.br/geladeira-elber-73-litros,0,0,0,1,11,
90,Organic,mercadolivre.com.br,https://www.mercadolivre.com.br/grade-inox-geladeira-elber-6573-litros-original/up/MLBU778874077,0,0,0,0,2,
91,Organic,mercadolivre.com.br,https://lista.mercadolivre.com.br/heladera-elber,0,0,0,0,1,
92,Organic,mercadolivre.com.br,https://produto.mercadolivre.com.br/MLB-2220253008-porta-geladeira-elber-65-litros-interior-branco-_JM,0,0,0,0,1,
93,Organic,mercadolivre.com.br,https://lista.mercadolivre.com.br/geladeira-elber-41-litros,0,0,0,141,15,
94,Organic,mercadolivre.com.br,https://lista.mercadolivre.com.br/geladeira-elber-31-litros,0,0,0,65,23,
95,Organic,mercadolivre.com.br,https://lista.mercadolivre.com.br/geladeira-elber-quadrivolt,0,0,0,13,12,
96,Organic,mercadolivre.com.br,https://lista.mercadolivre.com.br/geladeira-elber-85-litros,0,0,0,32,15,
97,Organic,mercadolivre.com.br,https://lista.mercadolivre.com.br/geladeira-elber-51-litros,0,0,0,11,6,
