Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),SERP Features
geladeira para caminhão,"Informational, Commercial",8100,"0.82,1.00,0.82,1.00,0.82,0.55,0.55,0.67,0.67,0.55,0.55,0.55",15,0.07,"Sitelinks, AI Overview, Image pack, Video, Video carousel, Related searches, Popular products"
geladeira de caminhão,"Informational, Transactional",2400,"0.83,0.83,0.83,1.00,0.83,0.83,0.65,0.65,0.65,0.83,0.83,0.83",21,0.10,"Sitelinks, Image pack, Video, Video carousel, People also ask, Related searches, Popular products"
caixa de cozinha para caminhão,"Informational, Commercial",1600,"0.68,1.00,0.85,1.00,0.68,0.52,0.68,0.85,0.68,0.85,0.85,0.68",7,0.05,"Image, Image pack, Video, Video carousel, Related searches, Popular products"
geladeira resfriar 31 litros,"Informational, Transactional",1300,"0.68,1.00,0.68,0.68,0.46,0.52,0.46,0.46,0.52,0.06,0.05,0.68",19,0.10,"Sitelinks, Image pack, Video, Video carousel, People also ask, Knowledge panel, Related searches, Popular products"
geladeira resfriar 18 litros,"Informational, Transactional",590,"0.67,1.00,1.00,0.82,0.54,0.54,0.36,0.36,0.45,0.45,0.54,0.54",18,0.08,"Sitelinks, Image pack, Video, Video carousel, People also ask, Knowledge panel, Related searches, Popular products"
geladeira elber 65 litros,"Informational, Transactional",390,"1.00,1.00,1.00,1.00,0.81,0.81,0.81,0.81,0.67,0.81,0.81,0.81",7,0.08,"Sitelinks, Video, Video carousel, Related searches, Popular products"
geladeira automotiva 12v,"Informational, Transactional",320,"0.81,1.00,0.81,1.00,0.81,0.63,0.63,0.81,1.00,0.81,0.81,0.81",18,0.08,"Sitelinks, Image pack, Video, Video carousel, People also ask, Related searches, Popular products"
geladeira elber 31 litros,"Informational, Commercial",320,"0.67,1.00,1.00,0.82,0.55,0.67,0.67,0.55,0.55,0.55,0.44,0.55",7,0.07,"Sitelinks, Image pack, Video, Video carousel, Related searches, Popular products"
geladeira para carreta,"Informational, Commercial",260,"0.80,0.80,0.80,1.00,1.00,0.80,0.80,0.65,0.80,0.80,0.80,0.80",11,0.08,"Sitelinks, Image pack, Video, Related searches, Popular products"
geladeira caminhão elber,"Informational, Commercial",170,"0.64,0.80,0.64,0.80,0.41,0.64,0.52,0.52,0.52,0.52,0.52,1.00",7,0.11,"Sitelinks, Image pack, Video, Video carousel, Related searches, Popular products"
mini geladeira para caminhão,"Informational, Commercial",170,"0.81,1.00,1.00,1.00,0.65,0.81,0.53,0.53,0.53,0.53,0.40,0.65",21,0.06,"Sitelinks, Image pack, Video, Video carousel, Related searches, Popular products"
caixa de comida caminhão,Informational,110,"0.32,0.14,0.43,0.43,0.66,1.00,0.82,0.66,0.09,0.09,0.09,0.09",6,0.04,"Sitelinks, Image, Image pack, Video, Video carousel, Related searches, Popular products"
geladeira 24v para caminhão,,90,"0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.82,1.00,1.00,0.82,0.64",,0.10,
geladeira caminhão resfriar,,90,"0.03,1.00,0.65,0.80,0.00,0.03,0.00,0.80,0.08,0.18,0.11,0.08",,0.09,
geladeira caminhão maxiclima,,50,"1.00,0.78,1.00,0.78,0.33,0.44,0.44,0.56,0.22,0.22,0.22,0.22",,0.09,
geladeira para van,,50,"1.00,1.00,1.00,1.00,0.18,0.18,0.18,0.27,0.36,0.45,0.45,0.27",,0.05,
geladeira para motorhome 12v,,30,"0.17,0.17,1.00,0.27,0.27,0.17,0.17,0.17,0.17,0.17,0.17,0.27",,0.07,
geladeira portátil automotiva,,30,"0.43,0.71,0.57,0.43,0.57,0.43,0.14,0.00,0.00,0.00,1.00,0.43",,0.09,
geladeira resfriar 35 litros,,30,"0.00,0.00,0.00,0.07,0.07,0.21,0.50,1.00,0.00,0.07,0.21,0.21",,0.09,
qual a melhor geladeira para caminhão,,30,"0.50,0.50,1.00,1.00,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50",,0.08,
como instalar geladeira no caminhão,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,
geladeira 12v para caminhão,,20,"0.42,1.00,1.00,0.42,0.14,0.14,0.00,0.14,0.14,0.28,0.14,0.14",,0.09,
geladeira automotiva 18 litros,,20,"0.67,0.67,0.67,1.00,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67",,0.08,
geladeira automotiva com compressor,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.10,
geladeira elber black,,20,"0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,1.00",,0.17,
geladeira externa caminhão,,20,"0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,1.00",,0.21,
geladeira externa elber,,20,"0.00,0.00,0.00,0.66,1.00,0.66,0.66,0.66,0.66,0.66,0.66,0.66",,0.15,
geladeira para volvo fh,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00",,0.13,
preço de geladeira de caminhão,,20,"0.67,1.00,1.00,1.00,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67",,0.05,
suporte para geladeira de caminhão,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,
geladeira interna caminhão,,10,"0.33,0.67,1.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.09,
elber ou resfriar,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
geladeira automotiva 50 litros,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
geladeira caminhão 85 litros,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
geladeira caminhão mercado livre,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
geladeira caminhão olx,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
geladeira caminhão usada,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.04,
geladeira externa resfriar,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.08,
geladeira para actros,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
geladeira para scania,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
geladeira para sprinter,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
geladeira resfriar digital,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.11,
peças geladeira resfriar,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
resfriar ou maxiclima,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
